,Dataset,Language,k,Accuracy
1,XCOPA,English,0,0.84
2,XCOPA,English,1,0.97
5,XCOPA,English,2,0.97
0,XCOPA,English,4,0.978
4,XCOPA,English,8,0.982
3,XCOPA,English,16,0.984
6,XCOPA,Haitian Creole,0,0.62
11,XCOPA,Haitian Creole,1,0.684
9,XCOPA,Haitian Creole,2,0.722
8,XCOPA,Haitian Creole,4,0.71
10,XCOPA,Haitian Creole,8,0.728
7,XCOPA,Haitian Creole,16,0.758
13,XCOPA,Tamil,0,0.542
15,XCOPA,Tamil,1,0.564
14,XCOPA,Tamil,2,0.588
17,XCOPA,Tamil,4,0.562
12,XCOPA,Tamil,8,0.602
16,XCOPA,Tamil,16,0.602
20,XNLI,English,0,0.6960079840319361
18,XNLI,English,2,0.7261477045908183
19,XNLI,English,4,0.7465069860279441
21,XNLI,English,8,0.7612774451097805
22,XNLI,English,16,0.7612774451097805
24,XNLI,Swahili,0,0.5473053892215569
25,XNLI,Swahili,2,0.5668662674650699
23,XNLI,Swahili,4,0.5686626746506986
26,XNLI,Swahili,8,0.5646706586826348
27,XNLI,Swahili,16,0.5674650698602794
32,XNLI,Urdu,0,0.4678642714570858
28,XNLI,Urdu,2,0.47704590818363274
29,XNLI,Urdu,4,0.47944111776447107
30,XNLI,Urdu,8,0.4932135728542914
31,XNLI,Urdu,16,0.49520958083832334
